अ     a
अँखिया      ankhiya
अँखौड़ा      ankhauda
अँगना angana
अँगरखा      angarakha
अँगरेजी   angareje
अँगरेजों        angarejon
अँगरेज़      angarez
अँगरेज़ी   angareze
अँगिया      angiya
अँगीकार   angekar
अँगीठी      angethe
अँगुलियाँ     anguliyan
अँगुलियों     anguliyon
अँगुली      angule
अँगूठा      angotha
अँगूठी      angothi
अँगूठे      anguthe
अँग्रेजी        angreje
अँग्रेजी़     angreze
अँग्रेजों     angrejon
अँग्रेज़ी        angreje
अँग्रेज़ों     angrezon
अँगड़ाई      angadae
अँठली anthle
अँडुआ andua
अँतड़ी antade
अँधियारा        andhiyara
अँधेरा      andhera
अँधेरी      andhere
अँधेरे      andhere
अंक       ank
अंकगणित   ankaganrit
अंकगणितीय     ankaganriteya
अंकगत anakgat
अंकटाड      ankatad
अंकन    ankan
अंकनी ankane
अंकनीय      ankaneya
अंकपत्र   ankapatra
अंकरूपक   ankarupak
अंकल    ankal
अंकारा      ankara
अंकावतार        ankavatar
अंकित ankit
अंकिता      ankita
अंकीकरण   ankekaran
अंकीकृत   ankekrat
अंकीय ankeya
अंकुर ankur
अंकुरक      ankurak
अंकुरण      ankuran
अंकुरित   ankurit
अंकुरों   ankuron
अंकुश ankush
अंकुशाकार     ankushakar
अंकेक्षक        ankekshak
अंकेक्षण        ankekshan
अंकेक्षित     ankekshit
अंको    anko
अंकों ankon
अंकोरवाट        ankorvat
अंखफोड़वा        ankhphorva
अंग       ang
अंगछेद      angached
अंगछेदन   angachedan
अंगद    angad
अंगना angana
अंगरक्षक        angarakshak
अंगरक्षकों  angarakshakon
अंगरखा      angarakha
अंगराग      angarag
अंगरागता        angaragata
अंगरागविज्ञान angaragavigyan
अंगरागों        angaragon
अंगरेजी   angareje
अंगरेजों        angarejon
अंगरेज़      angarez
अंगरेज़ी   angareze
अंगवाला   angawala
अंगविच्छेद  angaviched
अंगशैथिल्य  angsheithilya
अंगहीन      anghen
अंगा    anga
अंगार angar
अंगारा      angara
अंगारे      angare
अंगारों   angaron
अंगाषाश्म     angashashm
अंगिका      angika
अंगिया      angiya
अंगिरस      angiras
अंगिरा      angira
अंगीकरण   angekaran
अंगीकार   angekar
अंगीकृत   angekrat
