अ     a       
अँखिया      ankhiya 
अँखौड़ा      ankhauda        
अँगना anganaa 
अँगरखा      angarakhaa      
अँगरेजी   angarejee       
अँगरेजों        angarejon       
अँगरेज़      angarez 
अँगरेज़ी   angarezee       
अँगिया      angiyaa 
अँगीकार   angeekaar       
अँगीठी      angeethee       
अँगुलियाँ     anguliyaan      
अँगुलियों     anguliyon       
अँगुली      angulee 
अँगूठा      angootha        
अँगूठी      angoothi        
अँगूठे      anguthe 
अँग्रेजी        angrejee        
अँग्रेजी़     angrezee        
अँग्रेजों     angrejon        
अँग्रेज़ी        angrejee        
अँग्रेज़ों     angrezon        
अँगड़ाई      angadaee        
अँठली anthlee 
अँडुआ anduaa  
अँतड़ी antadee 
अँधियारा        andhiyaraa      
अँधेरा      andheraa        
अँधेरी      andheree        
अँधेरे      andhere 
अंक       ank     
अंकगणित   ankaganrit      
अंकगणितीय     ankaganriteeya  
अंकगत anakgat 
अंकटाड      ankataad        
अंकन    ankan   
अंकनी ankanee 
अंकनीय      ankaneeya       
अंकपत्र   ankapatra       
अंकरूपक   ankarupak       
अंकल    ankal   
अंकारा      ankaraa 
अंकावतार        ankaavataar     
अंकित ankit   
अंकिता      ankita  
अंकीकरण   ankeekaran      
अंकीकृत   ankeekrat       
अंकीय ankeeya 
अंकुर ankur   
अंकुरक      ankurak 
अंकुरण      ankuran 
अंकुरित   ankurit 
अंकुरों   ankuron 
अंकुश ankush  
अंकुशाकार     ankushakaar     
अंकेक्षक        ankekshak       
अंकेक्षण        ankekshan       
अंकेक्षित     ankekshit       
अंको    anko    
अंकों ankon   
अंकोरवाट        ankorvaat       
अंखफोड़वा        ankhphorvaa     
अंग       ang     
अंगछेद      angached        
अंगछेदन   angachedan      
अंगद    angad   
अंगना anganaa 
अंगरक्षक        angarakshak     
अंगरक्षकों  angarakshakon   
अंगरखा      angarakhaa      
अंगराग      angaraag        
अंगरागता        angaraagataa    
अंगरागविज्ञान angaraagavigyaan        
अंगरागों        angaragon       
अंगरेजी   angarejee       
अंगरेजों        angarejon       
अंगरेज़      angarez 
अंगरेज़ी   angarezee       
अंगवाला   angawaala       
अंगविच्छेद  angaviched      
अंगशैथिल्य  angsheithillya  
अंगहीन      angheen 
