अ     a
अँखिया      ankhiya
अँखौड़ा      ankhuda
अँगना angw
अँगरखा      angrkha
अँगरेजी   angareji
अँगरेजों        angarejon
अँगरेज़      angarej
अँगरेज़ी   angareji
अँगिया      angiya
अँगीकार   angekar
अँगीठी      angethe
अँगुलियाँ     anguliyan
अँगुलियों     anguliyon
अँगुली      anguli
अँगूठा      angotha
अँगूठी      anguthi
अँगूठे      anguthe
अँग्रेजी        angreji
अँग्रेजी़     angreje
अँग्रेजों     angrejon
अँग्रेज़ी        angreji
अँग्रेज़ों     angrejon
अँगड़ाई      angdae
अँठली anthali
अँडुआ andua
अँतड़ी antadi
अँधियारा        andhiyara
अँधेरा      andhera
अँधेरी      andhii
अँधेरे      andhere
अंक       ank
अंकगणित   ankganit
अंकगणितीय     ankganitey
अंकगत ankgat
अंकटाड      anktad
अंकन    ankn
अंकनी ankne
अंकनीय      ankney
अंकपत्र   ankpatr
अंकरूपक   ankropak
अंकल    ankl
अंकारा      ankara
अंकावतार        ankwtar
अंकित ankit
अंकिता      ankita
अंकीकरण   ankikaran
अंकीकृत   ankikrt
अंकीय ankiy
अंकुर ankur
अंकुरक      ankurak
अंकुरण      ankuran
अंकुरित   ankurit
अंकुरों   ankuron
अंकुश ankush
अंकुशाकार     ankushakar
अंकेक्षक        ankekshak
अंकेक्षण        ankekshan
अंकेक्षित     ankekshit
अंको    anko
अंकों ankon
अंकोरवाट        ankorvat
अंखफोड़वा        ankhfodwa
अंग       ang
अंगछेद      angched
अंगछेदन   angchedan
अंगद    angad
अंगना angw
अंगरक्षक        angrakshak
अंगरक्षकों  angrakshakon
अंगरखा      angrakha
अंगराग      angrag
अंगरागता        angragta
अंगरागविज्ञान angragvigyan
अंगरागों        angragon
अंगरेजी   angreji
अंगरेजों        angarejon
अंगरेज़      angrej
अंगरेज़ी   angreji
अंगवाला   angwala
अंगविच्छेद  angvichchhed
अंगशैथिल्य  angshaithily
अंगहीन      anghin
अंगा    anga
अंगार angar
अंगारा      angara
अंगारे      angare
अंगारों   angaron
अंगाषाश्म     angashashm
अंगिका      angika
अंगिया      angiya
अंगिरस      angiras
अंगिरा      angira
अंगीकरण   angikaran
अंगीकार   angikar
अंगीकृत   angikrt
अंगीठी      angithe
अंगीभूत   angibhot
अंगुठी      anguthi
अंगुत्तर        anguttar
अंगुल angul
अंगुलबेढ़ा     angulbedha
अंगुलाग्र     angulagr
अंगुलि      anguli
अंगुलित्र     angulitr
अंगुलिनिर्देश angulinirdesh
अंगुलियाँ     anguliyan
अंगुलियों     anguliyon
अंगुलिहीन     angulihin
अंगुलिहीनता       angulihinta
अंगुली      anguli
अंगुश्त   angusht
अंगुश्तनुमा       angushtnuma
अंगुश्ताना  angushtaw
अंगुष्ठ   angushth
अंगूठा      angutha
अंगूठियों     anguthiyon
अंगूठी      anguthe
अंगूठे      anguthe
अंगूठों   anguthon
अंगूर angur
अंगूरी      anguri
अंगूरों   anguron
अंगो    ango
अंगों angon
अंगोच्छेदन  angocchedan
अंगोछना   angochaw
अंगोछा      angocha
अंगोरा      angora
अंगोरा      angora
अंगोला      angola
अंग्रजी   angraji
अंग्रजों        angrajon
अंग्रेज   angrej
अंग्रेजी        angreji
अंग्रेजी़     angreji
अंग्रेजो        angrejo
अंग्रेजों     angrejon
अंग्रेज़   angrej
अंग्रेज़ियत  angrejiyat
अंग्रेज़ी        angreji
अंग्रेज़ो        angrejo
अंगड़ाई      angadae
अंचल    anchal
अंचलों      anchalon
अंजन    anjan
अंजनहारी        anjanhari
अंजना anjaw
अंजनी anjani
अंजलि anjali
अंजली anjale
अंजान anjan
अंजाने      anjane
अंजाम anjam
अंजीर anjir
अंजुम anjum
अंजुमन      anjuman
अंजू    anju
अंटा    anta
अंटार्कटिक  antarktik
अंटार्कटिका       antarktika
अंटार्टिका  antartika
अंटी    anti
अंड       and
अंडकोश      andkosh
अंडकोष      andkosh
अंडकोषीय        andkoshey
अंडखोल      andkhol
अंडप    andp
अंडमान      andman
अंडमानी   andmani
अंडर    andar
अंडरआर्म        andararm
अंडरएक्स्पोज़    andarekspoj
अंडरग्राउंड       andargraund
अंडरटेकर        andartekar
अंडरटेकिंग  andarteking
अंडरपास   andarpas
अंडरवर्ल्ड  andarwarld
अंडरवियर        andarviyar
अंडरवुड   andarvud
अंडरस्कोर्स       andarskors
अंडरस्टैंडिंग andarstainding
अंडसमूह   andsamuh
अंडा    anda
अंडाकार   andakar
अंडाणु      andanu
अंडाशय      andashy
अंडे    ande
अंडों andon
अंडोरा      andora
अंत       ant
अंतः    antah
अंतःकरण   antahkaran
अंतःक्रिया  anthkriya
अंतःक्षेत्र       anthkshetr
अंतःक्षेपण  anthkshepan
अंतःपुर   anthpur
अंतःविषय        anthvishay
अंतःशिरा        anthshira
अंतःसंबंध     anthsambandh
अंतःसम्पर्क       anthsampark
अंतःसर्पी     antahsarpe
अंतःसागरी     anthsagari
अंतःस्त्राव       anthstrav
अंतःस्थल        anthsthal
अंतःस्थलीय  anthsthaley
अंतःस्राव     anthsrav
अंतःस्रावी  anthsravi
अंतक    antak
अंतकाल      antkal
अंतत    antat
अंततः antth
अंततोगत्वा  anttogatva
अंतनिर्हित  antanirhit
अंतभाग      antbhag
अंतर    antar
अंतरंग      antrang
अंतरंगता        antrangta
अंतरंगी   antrange
अंतरगत      antragat
अंतरग्रहण     antargrahan
अंतरजातीय     antarjatey
अंतरजाल   antarjal
अंतरण antaran
अंतरतम      antartam
अंतरतारकीय  antartarkey
अंतरपणन   antarpawn
अंतरफलक   antarfalk
अंतरबैंक        antarbaink
अंतरमहाद्वीपीय      antarmhadvipiy
अंतरराज्यीय       antarrajyiy
अंतरराष्ट्रीय antarrashtriy
अंतरराष्ट्रीयकरण        antarrashtriykaran
अंतरर्राष्ट्रीय   antarrashtriy
अंतरस्थ   antarsth
अंतरा antra
अंतरात्मा     antartma
अंतरापर्वतीय    antarparvatiy
अंतरापृष्ठ  antarprshth
अंतराय      antaray
अंतराल      antral
अंतरालरहित  antralrahit
अंतरालों        antralon
अंतराष्ट्रीय    antrashtriy
अंतरिक      antrik
अंतरिक्ष        antriksh
अंतरिक्षचारी    antrikshchari
अंतरिक्षयात्री      antrikshyatri
अंतरिक्षयान       antrikshyan
अंतरिक्षविज्ञानशास्री antrikshvigyanshsri
अंतरिक्षीय  antrikshiy
अंतरित      antrit
अंतरिम      antrim
अंतरिमकाल     antrimkal
अंतरीप      antarip
अंतरीय      antriy
अंतरों      antron
अंतर्कार्यालयीन   antrkaryalayin
अंतर्कालीन  antarkalen
अंतर्क्रिया       antarkriya
अंतर्गत   antargat
अंतर्ग्रस्त       antargrast
अंतर्ग्रहण  antargrhan
अंतर्ग्रहण्       antargrhan
अंतर्ग्राहिक    antargrahik
अंतर्जंघिका       antarjanghika
अंतर्जनस्तर       antarjanstar
अंतर्जात        antarjat
अंतर्जातीय  antarjatiy
अंतर्जाल        antarjal
अंतर्ज्ञान  antargyan
अंतर्ज्ञेयवाद antargyeywad
अंतर्तम   antrtam
अंतर्तारकीय       antrtarkey
अंतर्दर्शन  antardarshn
अंतर्दहन        antardhan
अंतर्दृष्टि       antardrshti
अंतर्देशीय  antardishiy
अंतर्द्वंद  antardvand
अंतर्धान        antardhan
अंतर्धारा     antardhara
अंतर्निहित  antarnihit
अंतर्मन   antarman
अंतर्महाद्वीपीय   antarmahadvipiy
अंतर्मुखता  antarmukhta
अंतर्मुखी     antarmukhi
अंतर्यामी     antaryami
अंतर्राज्यीय    antarajyey
अंतर्राष्ट्रवादी        antarashtravadi
अंतर्राष्ट्रीकरण        antarashtrikaran
अंतर्राष्ट्रीय      antarashtrey
अंतर्राष्ट्रीयकरण     antarashtreyakaran
अंतर्राष्ट्रीयता        antarashtreyata
अंतर्राष्ट्रीयतावाद       antarashtreytavad
अंतर्राष्ट्रीयतावादी    antarashtriytavadi
अंतर्रोधी     antarodhi
अंतर्वर्ती  antarvarti
अंतर्वस्तु  antarvastu
अंतर्वस्त्र       antarvastr
अंतर्वाह        antarvah
अंतर्वाही     antarvahi
अंतर्विभागीय    antarvibhagiy
अंतर्विराम  antarviram
अंतर्विरोध  antarvirodh
अंतर्विवाह  antarvivah
अंतर्विवाही       antarvivahi
अंतर्विषयक  antarvishyak
अंतर्वेश        antarvesh
अंतर्वेशन     antarveshan
अंतर्संबंधों    antarsambandhon
अंतश्छद   antshchad
अंतहीन      anthin
अंतहीनता        anthinta
अंताल्या        antalya
अंतिम antim
अंतिमबिंदु  antimbindu
अंतिमांश        antimansh
अंतेवासी        antevasi
अंतोनियो        antoniyo
अंत्य anty
अंत्यलक   antyalak
अंत्याधार     antyadhar
अंत्यानुप्रास antyanupras
अंत्यानुप्रासवाला     antyanuprasvala
अंत्येष्टि  antyeshti
अंत्र antr
अंत्रवृद्धि       antrvrddhi
अंतड़ियां        antdiyan
अंतड़ियों        antdiyon
अंतड़ी antde
अंदर    andar
अंदरुनी   andrune
अंदरूनी   androne
अंदाज andaj
अंदाजा      andja
अंदाज़ andaj
अंदाज़ा      andaja
अंदेशा      andesha
अंधक    andhak
अंधकार      andhakar
अंधकारपूर्ण       andhkarporn
अंधकारपूर्णता andhakarpurnta
अंधकारभीति  andhkarbheti
अंधकारमय        andhkarmay
अंधक्षेत्र  andhkshetr
अंधड    andhd
अंधता andhta
अंधभक्त   andhbhakt
अंधभक्ति        andhbhakti
अंधविश्वास  andhvishvas
अंधविश्वासी       andhvishvase
अंधविश्वासों    andhvishvason
अंधश्रद्धा  andhshraddha
अंधा    andha
अंधाधुंध        andhdhundh
अंधाधुध   andhdhudh
अंधाधुन्ध     andhadhundh
अंधानुकरण     andhnukaran
अंधापन      andhapan
अंधियारा        andhiyara
अंधी    andhi
अंधे    andhe
अंधेर andher
अंधेरा      andhera
अंधेरापन        andherapan
अंधेरी      andheri
अंधेरे      andheri
अंधों andhon
अंधड़    andhad
अंपायर      ampayar
अंपायरिंग     ampayaring
अंबर    ambar
अंबरीश      ambresh
अंबा    amba
अंबानी      ambane
अंबार ambar
अंबाला      ambala
अंबिका      ambika
अंबिकापुर     ambikapur
अंबुज ambuj
अंबुपति   ambupati
अंबेडकर   ambedkar
अंश       ansh
अंशअ    ansh
अंशकालिक        anshkalik
अंशकालीन        anshkalen
अंशछादन   anshchadan
अंशजलीय   anshjaley
अंशत    anshat
अंशतः anshtah
अंशदाता   anshdata
अंशदान      anshdan
अंशदायी   anshdaye
अंशधारियों  anshdhariyon
अंशधारी   anshadhare
अंशबोधक   anshbodhak
अंशभागी   anshbhage
अंशशोधन   anshshodhan
अंशस्वामी     anshsvame
अंशांकन   anshankan
अंशांकित        anshankit
अंशातिप्रिय       anshatipriya
अंशिका      anshika
अंशु    anshu
अंशुक anshuk
अंशुमन      anshuman
अंशुमान   anshuman
अंशुमाली        anshumale
अंशों anshon
अंशोच्छेदन  anshochchhedan
अंसकूट      ansakot
अंसपेशी   ansapeshe
अंसारी      ansare
अंसीय ansey
अः  ah
अइसे    aise
अई  ae
अउर       aur
अऋतुक्षरित  artuksharit
अऔरत    aurat
अकं       akan
अकथ       akath
अकथ्य akathy
अकबकाना   akabakaw
अकबर    akabar
अकबरपुर   akabarapur
अकबरी akabare
अकरकरा      akarakara
अकरण    akaran
अकरणीय      akaraney
अकरम    akaram
अकराबाद   akarabad
अकर्म akarm
अकर्मक      akarmak
अकर्मण्य        akarmany
अकर्मण्यता  akarmanyata
अकर्मी      akarme
अकल       akal
अकलंकता   akalankata
अकलंकित   akalankit
अकलंकी      akalankit
अकलबीर      akalbir
अकलमंदी   akalmande
अकलात्मक        akalatmak
अकल्प akalp
अकल्पनाशील  akalpawshil
अकल्पनीय        akalpaniy
अकसर    akasar
अकसीर akasir
अकस्मात   akasmat
अकस्माती        akasmate
अकस्मात्        akasmat
अकहा    akaha
अकाउंट      akaunt
अकाउंटेंट     akauntent
अकाज    akaj
अकाट्य      akaty
अकाट्यता        akatyata
अकाट्यतापूर्वक      akatyatpurvak
अकादमिक   akadimik
अकादमियाँ     akadamiyan
अकादमियों     akadamiyon
अकादमी      akadame
अकादेमी   akademe
अकाधिक      akadhik
अकाबा akaba
अकाम    akam
अकारण akaran
अकार्बनिक     akarbanik
अकाल    akal
अकालप्रौढ़     akalapraudh
अकालियों        akaliyon
अकाली akale
अकालों      akalon
अकिंचन      akinchan
अकिंचनता        akinchawta
अकिण्वित        akinvit
अकिता akita
अकिलीज़      akilij
अकी       aki
अकीक    akik
अकीनी akini
अकीयाई      akeyae
अकुल    akul
अकुला akula
अकुलाना   akulaw
अकुलाहट   akulahat
अकुशल akushal
अकुशलता   akushalta
अकुशलतापूर्वक akushaltapurvak
अकूत    akut
अकृत    akrt
अकृषित      akrshit
अकेडमी      akedami
अकेला akela
अकेलापन   akelapan
अकेली akeli
अकेले akele
अकेलेपन   akelepan
अकेशिया   akeshiya
अकैडमी      akaidami
अकॉर्डियन     akordiyan
अकोला akola
अक्कादी   akkadi
अक्खड़ akkhad
अक्खड़पन   akkhdapan
अक्टुबर   aktubar
अक्टूबर   aktobar
अक्टूबरफ़ेस्ट    aktobarfest
अक्तुबर   aktubar
अक्तूबर   aktobar
अक्रमतः   akramatah
अक्राम्यता  akramyta
अक्रिय      akriy
अक्रियता        akriyta
अक्रियात्मक       akriytmak
अक्रियावाद  akriyvad
अक्रियाशील  akriyashel
अक्रूर      akror
अक्ल    akl
अक्लमंद   aklmand
अक्लमंदी        aklmande
अक्लोम      aklom
अक्वेरियम     akveriyam
अक्ष    aksh
अक्षत akshat
अक्षतंतु        akshtantu
अक्षम aksham
अक्षमता   akshmata
अक्षमताओं     akshmaton
अक्षमतापूर्वक akshmtaporvak
अक्षमित   akshmit
अक्षम्य   akshmy
अक्षय akshay
अक्षर akshar
अक्षरग्राम  akshargram
अक्षरधाम        akshardham
अक्षरयोजक     aksharyojak
अक्षरश      akshrash
अक्षरशः   aksharshah
अक्षरशैली     aksharshaile
अक्षरात्मक  akshartmak
अक्षरार्थ     akshrarth
अक्षरेखा        akshrekha
अक्षरों   akshron
अक्षांक्ष     akshanksh
अक्षांश   akshansh
अक्षांशीय     akshanshiy
अक्षांशों     akshanshon
अक्षि akshi
अक्षिति   akshiti
अक्षिदंत        akshidant
अक्षीय      akshiy
अक्षुण      akshun
अक्षुण्ण        akshun
अक्षों      akshon
अक्षोभ्य        akshobhy
अक्षौहिणी     akshuhine
अक्स    aks
अक्सर aksar
अक्साई      aksae
अक्सीर      aksi
अकड़       akad
अकड़न    akdan
अकड़ना akdaw
अकड़नेवाला     akdanevala
अकड़बाज़      akadabaj
अकड़ू    akado
अकड़ैत akadait
अखंड    akhand
अखंडता      akhandata
अखंडनीय   akhandniy
अखंडल akhandal
अखंडित      akhandit
अखण्ड akhand
अखण्डता   akhandata
अखण्डित्व     akhanditv
अखती    akhati
अखबार akhabar
अखबारी      akhabari
अखबारों   akhabaron
अखमीरी      akhmiri
अखय       akhay
अखयतीज      akhyatij
अखर       akhar
अखरना akharaw
अखरा    akhara
अखरोट akhrot
अखा       akha
अखाडा akhada
अखाद्य      akhady
अखाड़ा akhada
अखाड़िया   akhadiya
अखाड़े akhade
अखाड़ों      akhadon
अखियाँ      akhiyan
अखियों      akhiyon
अखिर    akhir
अखिरी akhiri
अखिल    akhil
अखिलेन्द्र  akhilendr
अखिलेश      akhilesh
अखिलेश्वर     akhileshvar
अख्तर akhtar
अख्तियार        akhtiyar
अख्तियारपुर       akhtiyarapur
अग  ag
अगंभीर      agambhir
अगणित aganit
अगत्ती      agatti
अगन       agan
अगम       agam
अगम्य agamy
अगर       agar
अगरचे agarche
अगरतला      agartala
अगरबत्ती        agarbati
अगरिया      agariya
अगरी    agari
अगल       agal
अगला    aala
अगली    agli
अगले    agle
अगवा    agava
अगवाई agvae
अगवान agvan
अगवानपुर        agvawpur
अगवानी      agvane
अगस्टे      agsti
अगस्त agast
अगस्त्य   agasty
अगस्त्यमुनि       agastyamuni
अगहन    aghan
अगहनी aghani
अगा       aga
अगाध    agadh
अगार    agar
अगासी agasi
अगियाना   agiyaw
अगुआ    agua
अगुआई aguae
अगुण    agun
अगुवा aguva
अगुवाई      aguvae
अगेंस्ट   agenst
अगेन    agen
अगोचर agochar
अगोरा agora
अग्नायी   agwye
अग्नाशय   agwshay
अग्नाशयकोप  agwshyakop
अग्नाशयशोथ  agwshyshoth
अग्नि agni
अग्निकांड     agnikand
अग्निकाण्ड  agnikand
अग्निकुण्ड  agnikund
अग्निदाह        agnidah
अग्निदेव        agnidev
अग्निदेवता  agnidevta
अग्निपथ   agnipath
अग्निपरीक्षा    agnipariksha
अग्निपुराण  agnipuran
अग्निपूजा     agnipoja
अग्निबाण        agniban
अग्निमित्र  agnimitr
अग्निरोधक     agnirodhak
अग्निवर्ण     agnivarn
अग्निवेश        agnivesh
अग्निशमन        agnishaman
अग्निसह   agnisah
अग्निसाक्षी       agnisakshi
अग्निस्थान  agnisthan
अग्निहोत्र  agnihotr
अग्निहोत्री       agnihotri
अग्न्यस्त्र       agnyastr
अग्न्याधान  agnyadhan
अग्न्याशय     agnyashy
अग्र    agr
अग्रगण्य        agragany
अग्रगामी        agragami
अग्रग्रामी  agrgrami
अग्रचिंता     agrchinta
अग्रज agraj
अग्रजा      agraja
अग्रणी      agrani
अग्रदल      agradal
अग्रदाय   agraday
अग्रदूत   agradot
अग्रदूती        agradoti
अग्रदूतीय     agradotiy
अग्रदूतों     agraduton
अग्रपाद   agrapad
अग्रपीयूषिकाग्रंथि  agrapiyoshikagranthi
अग्रभाग   agrabhag
अग्रभूमि        agrabhomi
अग्रवानी        agravani
अग्रवाल   agraval
अग्रवाही        agravahi
अग्रसर      agrasar
अग्रसरना        agrasaraw
अग्रसारित     agrasarit
अग्रसेन   agrasen
अग्रहरि   agrahari
अग्रहार   agrahar
अग्रांग   agrang
अग्रानुक्रम       agranukram
अग्रि agri
अग्रिम      agrim
अग्रिमराशि  agrimrashi
अग्रिमों        agrimon
अग्रे agre
अग्रेजी   agreji
अग्रेषण   agreshan
अग्रेषित        agreshit
अघन       aghan
अघरिया      aghariya
अघात    aghat
अघाना aghaw
अघावना      aghavaw
अघिक    aghik
अघिकारी   aghikari
अघुलनशील        aghulwshel
अघोर    aghor
अघोरी aghori
अघोषित      aghoshit
अचंभा achambha
अचंभित      achambhit
अचंभे achambhi
अचकन    achkan
अचक्रीय   achkrey
अचतुर achtur
अचम्भा      achambha
अचम्भित   achambhit
अचम्भे      achambhi
अचयनित      achyanit
अचर       achr
अचरज    achrj
अचरितार्थ     achritarth
अचल       achal
अचलता achalta
अचला    achla
अचलेश्वर        achaleshvar
अचानक achwk
अचार    achar
अचिंतित   achintit
अचिकित्स्य  achikitsy
अचित्रणीय     achitraniy
अचित्रित        achitrit
अचिह्नित        achihnit
अचीवमेंट        achevament
अचूक    achok
अचेत    achet
अचेतन achetan
